int_id,id,name,name_local,short_name_en_us,short_name_local,company_currency,company_country,notes,handler_company_id,is_drs_company,is_supplier,allow_locale,street,phone,official_registration_number,bank_name,bank_branch_name,bank_account_code,bank_account_name
7,K408,OL,OL,OL,OL,TWD,TW, ,2,False,True, , , , , , , , 
8,K448,JL,JL,JL,JL,TWD,TW, ,2,False,True, , , , , , , , 
14,K490,"SeeHot ElectronicsCo., Ltd.",嘻哈部落科技股份有限公司,SeeHot,嘻哈,TWD,TW,,2,False,True, ,104台北市中山區松江路289號4樓之6,02-25030687*62,27670312,第一銀行,景美分行,10610009359,嘻哈部落科技股份有限公司
20,K495,"Taiwan Green Creation co., Ltd.",綠色創意有限公司,Taiwan Green,綠色創意,TWD,TW,,2,False,True, ,嘉義市大富三街98號,05-2359804,25032958,永豐銀行,嘉義分行,1600100008325,綠色創意有限公司
25,K501,Shenfong.com,陞豐通訊有限公司,Shenfong,陞豐通訊,TWD,TW,,2,False,True, ,105台北市松山區八德路二段383號3F-1,02-27764081,24937372,玉山銀行,木柵分行, 0691-440-006189,陞豐通訊有限公司
26,K502,Peng-Yun Technology Inc,朋運科技股份有限公司,Peng-Yun,朋運科技,TWD,TW,,2,False,True, ,116-97 台北市文山區興隆路3段207巷4號3樓,02-82301393,80520192,第一銀行,延吉分行,152-10-156509, 朋運科技股份有限公司
22,K496,"LINQUAN TECHNOLOGY CO., LTD",霖泉科技有限公司,LINQUAN,霖泉科技,TWD,TW,,2,False,True, ,11449台北市內湖區港華街66號,02-27992691,53687465,中國信託商業銀行,瑞光分行,716540191747,霖泉科技有限公司
23,K499,Yantouch Corp.,陽泰電子股份有限公司,Yantouch,陽泰電子,TWD,TW,,2,False,True, ,30078新竹市科學園區新安路5號4樓之一  303室,03-563-5366,28933334,永豐銀行,新竹分行,018-001-00031529,陽泰電子股份有限公司
34,K509,"HONO GOLF Enterprise Co., Ltd.",永嬖企業股份有限公司,HONO,永嬖,TWD,TW,123,2,False,True, ,745台南市安定區中沙里沙崙42號,06-5935-383,73709585,台灣中小企銀,開元,691-12-159088,永嬖企業股份有限公司
28,K505,New home business club,新故鄉企業會社,New home,新故鄉,TWD,TW, ,2,False,True, , , , , , , , 
24,K500,"GOODTEC TECHNOLOGY CO.,LTD.",酷格科技股份有限公司,GOODTEC,酷格科技,TWD,TW,,2,False,True, ,新北市241三重區中興北街177號7樓,02-29998350EX11,27482091,彰化銀行,雙和分行,5678-01-00584000,酷格科技股份有限公司
27,K503,"LIDA Rubber Factory Co., Ltd.",立大橡膠廠股份有限公司,LIDA Rubber,立大橡膠,TWD,TW,,2,False,True, ,71064台南市永康區永大路一段132號,(06)271-0668,96986218,第一銀行,大灣分行,62610173023,立大橡膠廠股份有限公司
10,K151,"Hsumao Industrial Co., Ltd.",加貿工業股份有限公司,Hsumao,加貿,TWD,TW,"Irene Kao 高純純
加貿工業股份有限公司 / 電話: 04-25609856 #203 / 傳真: 04-25609875 / 地址: 42864 台中市大雅區仁和路195號
信箱: irene@homepluz.com 網站: www.homepluz.com",2,False,True, ,42864 台中市大雅區仁和路195號,04-25609856,22971599,兆豐國際商業銀行,豐原分行,3509062928,加貿工業股份有限公司
35,K511,i-image Ltd.,依美琦有限公司,i-image,依美琦,TWD,TW,,2,False,True, ,71084台南市永康區中華一路136號,06-3139600,54560107,中國信託,永康分行,358533263901,廖俊雄
36,K512,"CeoMate Technology Co.,Ltd",西歐科技有限公司,Ceomate,西歐科技,TWD,TW,,2,False,True, ,247新北市蘆洲區重陽街99號3樓 ,02-8281-3303,28522819,台灣企銀,北三重分行,15212135922,西歐科技有限公司
30,K416,"E-innotech co.,LTD",群茂電子有限公司,E-innotech,群茂電子,TWD,TW,,2,False,True, ,235新北市中和區中山路二段419號11樓,02-2226-8661,28649289,華南銀行,積穗分行,180-16-0147299,群茂電子有限公司
9,K486,Hanchor,汗可股份有限公司,Hanchor,汗可,TWD,TW,808 玉山商業銀行  帳號 0000749940010109,2,False,True, ,新北市三重區光復路一段83巷7號5樓,(02)8511-2012,53567594,富邦銀行,敦和分行,742120001104,汗可股份有限公司 
12,K489,Compass Systems Corp.,鴻方科技股份有限公司,Compass,鴻方科技,TWD,TW,,2,False,True, ,11562 台北市南港區忠孝東路五段815號5樓之2,02-2785-7299,80508520,兆豐國際商業銀行,內湖科學園區分行,237-09-03528-8,鴻方科技股份有限公司
182,K616,"E-TEN Information Systems Co., Ltd",倚天資訊股份有限公司,E-TEN Information,倚天資訊,TWD,TW,,2,False,True, ,114台北市內湖區瑞光路68號6樓,277210000,22089345,兆豐國際商業銀行,東內湖分行,06709009655,倚天資訊股份有限公司
15,K491,"Alfheim Technology Co., Ltd.",愛樂飛休閒科技有限公司,Alfheim,愛樂飛,TWD,TW,"劉大民
執行長
frank.liu@alfheimtec.com
Tel:02-29324583
Mobile: 0919927778",2,False,True, ,116台北市文山區仙岩路16巷72弄2號1樓,02-29324583,24783812,中國信託銀行,文山分行,300540107367,愛樂飛休閒科技有限公司
