product_name,filename,link,type,appliedVariationProduct,applicableRegion,description
,,,['ce'],"['X5', 'X5-Combo', 'X5-IT', 'X5-DE']",['UK'],
,,,['ncc'],"['X5', 'X5-Combo', 'X5-IT', 'X5-DE']",['TW'],
,,,['msds'],"['X5-Combo', 'X5', 'X5-IT', 'X5-DE']",['UK'],for Amazon UK Hazmat Review (signed)
,,,['insurance'],"['X5-DE', 'X5-IT', 'X5-Combo', 'X5']","['CA', 'DE', 'ES', 'FR', 'IT', 'TW', 'UK', 'US']",產品責任險保險證
,,,,['16309-30-09'],['UK'],laundry label
,,https://www.youtube.com/watch?v=HlcWfeymE_s,['marketingVideo'],[],"['CA', 'IT', 'DE', 'TW', 'ES', 'UK', 'FR', 'US']",
,,,['bluetooth'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['ce'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['ce'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['ce'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['ce'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['ncc'],"['TC001S-S-1B', 'TC001S-S-1W']",['TW'],
,,,['fcc'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['fcc'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['fcc'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['fcc'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['fcc'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['fcc'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['fcc'],"['TC001S-S-1B', 'TC001S-S-1W']","['TW', 'UK', 'US']",
,,,['ncc'],"['TC001S-S-1B', 'TC001S-S-1W']",['TW'],
,,,['OtherReferenceMaterialOther'],['K423-1E'],[],條碼貼紙
,,,['ce'],"['MOZB100OR02A', 'MOZB100PK02A', 'MOZB100IB02A']",[],
,,,"['fcc', 'msds', 'bluetooth']","['MOZB100OR02A', 'MOZB100PK02A', 'MOZB100IB02A']",[],
,,,['OtherReferenceMaterialOther'],"['MOZB100OR02A', 'MOZB100PK02A', 'MOZB100IB02A']",[],
,,,['OtherReferenceMaterialOther'],"['MOZB100OR02A', 'MOZB100PK02A', 'MOZB100IB02A']",[],
,,,['umFile'],['K423-2A'],['US'],製作檔
,,,['umFile'],['K423-2A'],[],印刷檔
,,,['fcc'],"['PL-1000B', 'PL-1000']",['US'],1000型號的FCC
,,,['ce'],"['PL-1000B', 'PL-1000']","['UK', 'IT', 'FR', 'DE', 'ES']",1000型號的CE
,,,['specificationTable'],"['PL-1000B', 'PL-1000', 'PL-1000Plus-BK', 'PL-1000Plus-GD', 'PL-1000Plus-RD', 'PL-1000Plus-BL']","['UK', 'ES', 'DE', 'CA', 'IT', 'FR', 'US', 'TW']",Sales Kit
,,,['OtherReferenceMaterialOther'],"['PL-1000B', 'PL-1000', 'PL-1000Plus-BK', 'PL-1000Plus-GD', 'PL-1000Plus-RD', 'PL-1000Plus-BL']","['CA', 'FR', 'US', 'IT', 'DE', 'ES', 'TW', 'UK']",產品測試報告
,,,['umFile'],"['PL-1000B', 'PL-1000']","['TW', 'US', 'UK']",
,,,['umFile'],"['PL-1000B', 'PL-1000']",[],說明書編輯檔
,,,['fcc'],"['PL-1000Plus-BK', 'PL-1000Plus-GD', 'PL-1000Plus-RD', 'PL-1000Plus-BL', 'PL-1000Plus-SV']",['US'],1000Plus的FCC
,,,['ce'],"['PL-1000Plus-BK', 'PL-1000Plus-GD', 'PL-1000Plus-RD', 'PL-1000Plus-BL', 'PL-1000Plus-SV']","['UK', 'DE', 'ES', 'IT', 'FR']",1000Plus的CE
,,,['umFile'],"['PL-1000Plus-BK', 'PL-1000Plus-GD', 'PL-1000Plus-RD', 'PL-1000Plus-BL', 'PL-1000Plus-SV']",['US'],PL-1000Plus說明書
,,,['fda'],['C-10303'],[],
,,,['msds'],['C-10303'],[],
,,,"['complianceOther', 'OtherReferenceMaterialOther']","['S-610W', 'S-610B']","['US', 'UK']",CB report
,,,['OtherReferenceMaterialOther'],"['S-610W', 'S-610B']",[],Test report
